algorithm, heuristic, disk_num, moves, solution found?, total cpu ticks, heuristic cpu ticks,
astar, admissible, 4, 8, 1, 22, 1,
astar, admissible, 4, 8, 1, 79, 5,
astar, admissible, 4, 9, 1, 90, 6,
astar, admissible, 4, 9, 1, 95, 2,
astar, admissible, 4, 8, 1, 23, 2,
astar, admissible, 4, 0, 1, 0, 0,
astar, admissible, 4, 9, 1, 84, 1,
astar, admissible, 4, 9, 1, 65, 5,
astar, admissible, 4, 8, 1, 21, 1,
astar, admissible, 4, 8, 1, 24, 1,
astar, admissible, 4, 6, 1, 9, 0,
astar, admissible, 4, 9, 1, 76, 5,
astar, admissible, 4, 8, 1, 28, 0,
astar, admissible, 4, 6, 1, 7, 0,
astar, admissible, 4, 9, 1, 91, 6,
astar, admissible, 4, 7, 1, 24, 0,
astar, admissible, 4, 9, 1, 97, 7,
astar, admissible, 4, 4, 1, 1, 0,
astar, admissible, 4, 8, 1, 34, 2,
astar, admissible, 4, 9, 1, 93, 5,
astar, non-admissible, 4, 8, 1, 48, 3,
astar, non-admissible, 4, 9, 1, 65, 2,
astar, non-admissible, 4, 9, 1, 125, 7,
astar, non-admissible, 4, 9, 1, 31, 1,
astar, non-admissible, 4, 8, 1, 30, 2,
astar, non-admissible, 4, 0, 1, 0, 0,
astar, non-admissible, 4, 9, 1, 45, 1,
astar, non-admissible, 4, 9, 1, 43, 5,
astar, non-admissible, 4, 9, 1, 29, 1,
astar, non-admissible, 4, 8, 1, 27, 1,
astar, non-admissible, 4, 6, 1, 5, 0,
astar, non-admissible, 4, 9, 1, 34, 2,
astar, non-admissible, 4, 8, 1, 28, 0,
astar, non-admissible, 4, 6, 1, 4, 0,
astar, non-admissible, 4, 9, 1, 65, 3,
astar, non-admissible, 4, 7, 1, 9, 1,
astar, non-admissible, 4, 9, 1, 47, 1,
astar, non-admissible, 4, 4, 1, 1, 0,
astar, non-admissible, 4, 8, 1, 25, 0,
astar, non-admissible, 4, 9, 1, 39, 0,
astar, admissible, 5, 6, 1, 7, 1,
astar, admissible, 5, 11, 1, 350, 69,
astar, admissible, 5, 11, 1, 368, 68,
astar, admissible, 5, 11, 1, 345, 62,
astar, admissible, 5, 8, 1, 36, 4,
astar, admissible, 5, 10, 1, 223, 19,
astar, admissible, 5, 8, 1, 39, 0,
astar, admissible, 5, 12, 1, 1758, 344,
astar, admissible, 5, 10, 1, 193, 5,
astar, admissible, 5, 9, 1, 148, 6,
astar, admissible, 5, 4, 1, 3, 0,
astar, admissible, 5, 11, 1, 453, 77,
astar, admissible, 5, 10, 1, 151, 15,
astar, admissible, 5, 10, 1, 166, 10,
astar, admissible, 5, 10, 1, 131, 9,
astar, admissible, 5, 10, 1, 164, 10,
astar, admissible, 5, 11, 1, 878, 75,
astar, admissible, 5, 10, 1, 118, 6,
astar, admissible, 5, 10, 1, 144, 11,
astar, admissible, 5, 12, 1, 1541, 323,
astar, non-admissible, 5, 6, 1, 6, 0,
astar, non-admissible, 5, 11, 1, 1044, 160,
astar, non-admissible, 5, 11, 1, 303, 31,
astar, non-admissible, 5, 11, 1, 415, 48,
astar, non-admissible, 5, 8, 1, 40, 3,
astar, non-admissible, 5, 11, 1, 370, 31,
astar, non-admissible, 5, 8, 1, 36, 4,
astar, non-admissible, 5, 12, 1, 1730, 333,
astar, non-admissible, 5, 10, 1, 236, 19,
astar, non-admissible, 5, 9, 1, 62, 3,
astar, non-admissible, 5, 4, 1, 1, 0,
astar, non-admissible, 5, 11, 1, 261, 12,
astar, non-admissible, 5, 10, 1, 269, 24,
astar, non-admissible, 5, 12, 1, 267, 20,
astar, non-admissible, 5, 10, 1, 213, 21,
astar, non-admissible, 5, 10, 1, 202, 19,
astar, non-admissible, 5, 12, 1, 317, 32,
astar, non-admissible, 5, 10, 1, 307, 43,
astar, non-admissible, 5, 11, 1, 258, 24,
astar, non-admissible, 5, 12, 1, 1300, 179,
astar, admissible, 6, 12, 1, 1068, 106,
astar, admissible, 6, 14, 1, 15941, 5786,
astar, admissible, 6, 12, 1, 947, 113,
astar, admissible, 6, 13, 1, 4703, 1144,
astar, admissible, 6, 13, 1, 3893, 844,
astar, admissible, 6, 14, 1, 22205, 8502,
astar, admissible, 6, 14, 1, 19927, 7648,
astar, admissible, 6, 13, 1, 5160, 850,
astar, admissible, 6, 10, 1, 98, 6,
astar, admissible, 6, 10, 1, 111, 10,
astar, admissible, 6, 14, 1, 17058, 6061,
astar, admissible, 6, 13, 1, 6440, 1114,
astar, admissible, 6, 14, 1, 18385, 6558,
astar, admissible, 6, 14, 1, 18827, 6172,
astar, admissible, 6, 11, 1, 685, 127,
astar, admissible, 6, 12, 1, 823, 96,
astar, admissible, 6, 9, 0, 30559, 11885,
astar, admissible, 6, 14, 1, 17240, 6027,
astar, admissible, 6, 13, 1, 6094, 855,
astar, admissible, 6, 14, 1, 21568, 6942,
astar, non-admissible, 6, 13, 1, 6124, 713,
astar, non-admissible, 6, 16, 1, 11621, 2012,
astar, non-admissible, 6, 13, 1, 5915, 596,
astar, non-admissible, 6, 13, 1, 6110, 697,
astar, non-admissible, 6, 13, 1, 6002, 616,
astar, non-admissible, 6, 14, 1, 9941, 1676,
astar, non-admissible, 6, 14, 1, 11625, 1438,
astar, non-admissible, 6, 13, 1, 15034, 3316,
astar, non-admissible, 6, 10, 1, 344, 47,
astar, non-admissible, 6, 10, 1, 294, 31,
astar, non-admissible, 6, 14, 1, 16022, 3630,
astar, non-admissible, 6, 13, 1, 9280, 1214,
astar, non-admissible, 6, 14, 1, 15094, 3663,
astar, non-admissible, 6, 14, 1, 12160, 3127,
astar, non-admissible, 6, 11, 1, 375, 42,
astar, non-admissible, 6, 12, 1, 6072, 633,
astar, non-admissible, 6, 15, 1, 29818, 8962,
astar, non-admissible, 6, 14, 1, 12646, 2434,
astar, non-admissible, 6, 13, 1, 3833, 492,
astar, non-admissible, 6, 14, 1, 8797, 1398,
